,ell,TT_out,EE_out,BB_out,TT_in,EE_in,BB_in,wl_TT,wl_EE,wl_BB
168,170,0.0018315557792538165,3.67555092822099e-07,8.869893069298767e-11,0.0018621169344653396,3.737914021245778e-07,8.364969082302721e-11,0.04418551094688383,0.04420493342267213,0.04420493342267213
169,171,0.0018518385610100578,2.727170188994492e-07,7.890378117389851e-11,0.0018838452920353391,2.772025836810433e-07,7.160845640153199e-11,0.04257476514448922,0.04259347959018626,0.04259347959018626
170,172,0.0019549639826571415,3.0456333623574404e-07,7.60651945980743e-11,0.001989083358613523,3.099374195156819e-07,7.39271801802973e-11,0.04101372458972047,0.04103175285409404,0.04103175285409404
171,173,0.0015224751019934327,3.0852991635325613e-07,6.55134073277205e-11,0.0015498410788658632,3.140903838562003e-07,6.134089693633288e-11,0.03950124017634047,0.039518603603049623,0.039518603603049623
172,174,0.001332855230077118,2.3175193526892534e-07,5.819010616149618e-11,0.0013573528427330312,2.357603571797779e-07,5.6161156193337576e-11,0.03803617363813844,0.03805289307049839,0.03805289307049839
173,175,0.0013260336209812865,2.409477989574439e-07,5.285714618014877e-11,0.001350768318285533,2.4557384307302394e-07,4.847252482682888e-11,0.03661739813094976,0.036633493916952635,0.036633493916952635
174,176,0.0013054288540885282,2.1147715466654776e-07,4.260331430063779e-11,0.001331170848421661,2.15706907481486e-07,4.1965277555267526e-11,0.035243798780839775,0.035259290778416344,0.035259290778416344
175,177,0.0010211562379555791,1.8230695303462327e-07,4.176893025466236e-11,0.0010417766267956515,1.8599817943907216e-07,3.926536163746969e-11,0.03391427319899674,0.033929180781504434,0.033929180781504434
176,178,0.0010391521437303037,1.714288727594657e-07,3.889149325915595e-11,0.0010604308816601303,1.7506776403141217e-07,3.688457967886695e-11,0.032627731963910264,0.03264207402583318,0.03264207402583318
177,179,0.000904814134776116,1.7903919985914936e-07,3.117189912981593e-11,0.00092430011093589,1.828925357648812e-07,2.937348432311686e-11,0.03138309907143832,0.03139689403428506,0.03139689403428506
178,180,0.0009412946987165842,1.3774003581791893e-07,3.05597426294757e-11,0.0009621045779430081,1.4070672176120115e-07,2.795532540130989e-11,0.030179312353392097,0.030192578171777583,0.030192578171777583
